Date,Open,High,Low,Close,Volume,Turnover
2020-03-27,8072.85,8124.6,7723.15,7816.85,,
2020-03-30,7644.55,7842.7,7598.55,7735.4,,
2020-03-31,7917.35,8092.4,7794.0,8042.1,,
2020-04-01,8030.55,8033.75,7772.25,7799.2,,
2020-04-03,7850.5,7853.9,7626.2,7640.85,,
2020-04-07,7887.0,8287.1,7873.35,8271.35,,
2020-04-08,8199.65,8588.65,8184.35,8308.6,,
2020-04-09,8495.55,8568.9,8430.05,8541.9,,
2020-04-13,8520.15,8534.5,8354.0,8446.35,,
2020-04-15,8553.1,8737.25,8543.8,8619.15,,
2020-04-16,8539.55,8679.55,8466.75,8616.15,,
2020-04-17,8825.1,8831.6,8579.6,8638.35,,
2020-04-20,8715.95,8718.05,8578.65,8598.3,,
2020-04-21,8430.95,8522.55,8412.45,8471.5,,
2020-04-22,8456.35,8686.35,8423.45,8673.15,,
2020-04-23,8686.2,8823.6,8666.25,8715.25,,
2020-04-24,8665.25,8739.5,8624.4,8639.65,,
2020-04-27,8717.95,8812.85,8709.05,8794.0,,
2020-04-28,8863.4,8873.3,8699.3,8721.65,,
2020-04-29,8771.85,8782.2,8717.75,8752.65,,
2020-04-30,8898.3,9017.35,8839.65,8981.1,,
2020-05-04,8721.2,8730.75,8533.75,8542.45,,
2020-05-05,8643.95,8669.7,8429.0,8439.55,,
2020-05-06,8451.3,8494.65,8304.75,8416.25,,
2020-05-07,8391.7,8407.15,8276.0,8287.95,,
2020-05-08,8423.4,8424.0,8350.2,8369.1,,
2020-05-11,8445.15,8535.85,8428.6,8466.15,,
2020-05-12,8425.2,8478.1,8326.15,8461.9,,
2020-05-13,8721.05,8721.15,8494.05,8513.2,,
2020-05-14,8412.6,8506.4,8391.75,8453.95,,
2020-05-15,8495.15,8495.45,8386.25,8433.5,,
2020-05-18,8446.0,8449.15,8253.95,8264.95,,
2020-05-19,8329.45,8368.85,8274.75,8310.3,,
2020-05-20,8310.85,8425.6,8294.05,8403.65,,
2020-05-21,8432.35,8530.35,8401.45,8513.9,,
